customer_id,booking_date,product_booked,Booking_Price,Discount
1,01/12/2016,Premium_Economy,5000,190
4,01/12/2016,Premium_Economy,5000,450
5,01/12/2016,Business,8000,130
6,01/12/2016,Economy,4000,380
8,01/12/2016,Economy,4000,200
10,01/12/2016,Business,8000,580
12,01/12/2016,Economy,4000,600
15,01/12/2016,Premium_Economy,5000,350
17,01/12/2016,Premium_Economy,5000,220
19,01/12/2016,Economy,4000,140
21,01/12/2016,Economy,4000,260
24,01/12/2016,Premium_Economy,5000,400
26,01/12/2016,Premium_Economy,5000,300
27,01/12/2016,Business,8000,390
29,01/12/2016,Economy,4000,270
30,01/12/2016,Economy,4000,100
31,01/12/2016,Business,8000,640
33,01/12/2016,Premium_Economy,5000,250
36,03/12/2016,Business,8000,270
39,03/12/2016,Business,8000,180
45,03/12/2016,Business,8000,370
48,03/12/2016,Economy,4000,400
49,03/12/2016,Premium_Economy,5000,180
53,03/12/2016,Business,8000,130
54,03/12/2016,Business,8000,500
55,03/12/2016,Premium_Economy,5000,420
58,03/12/2016,Premium_Economy,5000,500
60,03/12/2016,Business,8000,170
61,03/12/2016,Business,8000,600
62,03/12/2016,Premium_Economy,5000,120
64,03/12/2016,Business,8000,800
66,03/12/2016,Economy,4000,220
71,03/12/2016,Economy,4000,100
76,03/12/2016,Business,8000,300
82,03/12/2016,Premium_Economy,5000,290
85,03/12/2016,Premium_Economy,5000,220
94,03/12/2016,Premium_Economy,5000,180
97,03/12/2016,Business,8000,330
98,03/12/2016,Economy,4000,250
100,03/12/2016,Premium_Economy,5000,200
103,03/12/2016,Business,8000,760
104,03/12/2016,Business,8000,800
105,03/12/2016,Business,8000,160
108,03/12/2016,Business,8000,610
111,03/12/2016,Premium_Economy,5000,220
116,03/12/2016,Business,8000,480
120,03/12/2016,Premium_Economy,5000,130
121,03/12/2016,Business,8000,110
123,03/12/2016,Economy,4000,320
125,03/12/2016,Premium_Economy,5000,500
128,03/12/2016,Business,8000,590
132,03/12/2016,Premium_Economy,5000,470
142,03/12/2016,Economy,4000,250
148,03/12/2016,Premium_Economy,5000,600
149,03/12/2016,Business,8000,670
159,03/12/2016,Economy,4000,270
162,03/12/2016,Economy,4000,500
165,03/12/2016,Business,8000,290
167,03/12/2016,Business,8000,500
168,03/12/2016,Business,8000,460
169,03/12/2016,Economy,4000,900
174,03/12/2016,Economy,4000,400
177,03/12/2016,Business,8000,510
179,03/12/2016,Premium_Economy,5000,160
183,03/12/2016,Business,8000,460
185,03/12/2016,Business,8000,510
186,03/12/2016,Economy,4000,900
190,03/12/2016,Business,8000,620
196,03/12/2016,Economy,4000,230
201,03/12/2016,Business,8000,290
202,03/12/2016,Premium_Economy,5000,700
206,03/12/2016,Economy,4000,290
208,03/12/2016,Business,8000,600
209,03/12/2016,Economy,4000,310
210,03/12/2016,Economy,4000,270
213,03/12/2016,Economy,4000,280
217,03/12/2016,Business,8000,700
218,03/12/2016,Business,8000,490
219,03/12/2016,Premium_Economy,5000,310
222,03/12/2016,Economy,4000,300
228,03/12/2016,Business,8000,430
230,03/12/2016,Business,8000,490
232,03/12/2016,Business,8000,720
234,04/12/2016,Business,8000,740
235,04/12/2016,Premium_Economy,5000,800
236,04/12/2016,Economy,4000,700
238,04/12/2016,Business,8000,240
240,04/12/2016,Economy,4000,700
241,04/12/2016,Business,8000,330
247,04/12/2016,Economy,4000,0
249,04/12/2016,Economy,4000,230
252,04/12/2016,Economy,4000,700
253,04/12/2016,Business,8000,370
255,04/12/2016,Business,8000,720
256,04/12/2016,Economy,4000,700
257,04/12/2016,Economy,4000,300
258,04/12/2016,Premium_Economy,5000,410
259,04/12/2016,Economy,4000,400
261,04/12/2016,Business,8000,270
262,04/12/2016,Premium_Economy,5000,170
263,04/12/2016,Premium_Economy,5000,100
265,04/12/2016,Business,8000,640
268,04/12/2016,Premium_Economy,5000,420
270,04/12/2016,Economy,4000,500
273,04/12/2016,Business,8000,720
275,04/12/2016,Business,8000,450
276,04/12/2016,Business,8000,340
277,04/12/2016,Economy,4000,220
279,04/12/2016,Premium_Economy,5000,430
281,04/12/2016,Economy,4000,180
285,04/12/2016,Economy,4000,100
287,04/12/2016,Premium_Economy,5000,340
289,04/12/2016,Business,8000,440
293,04/12/2016,Economy,4000,200
295,04/12/2016,Economy,4000,310
296,04/12/2016,Premium_Economy,5000,470
297,04/12/2016,Business,8000,300
301,04/12/2016,Business,8000,210
302,04/12/2016,Economy,4000,900
303,04/12/2016,Premium_Economy,5000,140
305,04/12/2016,Business,8000,230
307,04/12/2016,Business,8000,290
310,04/12/2016,Economy,4000,380
311,04/12/2016,Business,8000,400
313,04/12/2016,Business,8000,680
314,04/12/2016,Premium_Economy,5000,310
319,04/12/2016,Business,8000,310
322,04/12/2016,Economy,4000,700
325,04/12/2016,Business,8000,140
330,04/12/2016,Economy,4000,400
331,04/12/2016,Premium_Economy,5000,500
332,04/12/2016,Business,8000,580
334,04/12/2016,Business,8000,730
337,04/12/2016,Premium_Economy,5000,430
339,05/12/2016,Economy,4000,350
344,05/12/2016,Business,8000,900
349,05/12/2016,Economy,4000,800
350,05/12/2016,Premium_Economy,5000,250
352,05/12/2016,Economy,4000,160
354,05/12/2016,Business,8000,540
356,05/12/2016,Premium_Economy,5000,500
357,05/12/2016,Business,8000,670
358,05/12/2016,Economy,4000,380
360,05/12/2016,Business,8000,550
362,05/12/2016,Business,8000,250
366,05/12/2016,Economy,4000,290
372,05/12/2016,Business,8000,170
374,05/12/2016,Business,8000,250
376,05/12/2016,Economy,4000,130
377,05/12/2016,Economy,4000,300
380,05/12/2016,Economy,4000,300
383,05/12/2016,Business,8000,700
389,05/12/2016,Business,8000,570
391,05/12/2016,Economy,4000,270
392,05/12/2016,Premium_Economy,5000,700
394,05/12/2016,Economy,4000,300
