,event_date,event_timestamp,event_name,event_previous_timestamp,event_value_in_usd,event_bundle_sequence_id,event_server_timestamp_offset,user_id,user_pseudo_id,user_first_touch_timestamp,user_ltv,stream_id,platform,event_dimensions,ecommerce,ga_session_number,engaged_session_event,firebase_event_origin,ga_session_id,firebase_conversion,session_engaged,privacy_info_analytics_storage,privacy_info_ads_storage,privacy_info_uses_transient_token,skywards_id,skywards_tier,first_open_time,location_service_status,device_category,device_mobile_brand_name,device_mobile_model_name,device_mobile_marketing_name,device_mobile_os_hardware_model,device_operating_system,device_operating_system_version,device_vendor_id,device_advertising_id,device_language,device_is_limited_ad_tracking,device_time_zone_offset_seconds,device_browser,device_browser_version,device_web_info,geo_continent,geo_country,geo_region,geo_city,geo_sub_continent,geo_metro,app_info_id,app_info_version,app_info_install_store,app_info_firebase_app_id,app_info_install_source,traffic_source_name,traffic_source_medium,traffic_source_source,firebase_screen_id,firebase_screen,entrances,firebase_previous_id,firebase_previous_screen,firebase_screen_class,firebase_previous_class,engagement_time_msec,item_name,item_id,content_type,screen_name,previous_os_version,previous_first_open_count,update_with_analytics,merchant_category,merchant_name,merchant_location
0,20230101,1672571483869000,session_start,1671791225599000,,10,346381,,7617C4B61F7E490BAE32F46345741A13,1669870350840000,,1653913388,IOS,,,3,1,auto,1672571483,1,1,Yes,Yes,No,43139055,SILVER,1669870800000,On,tablet,Apple,iPad (9th gen),,"iPad12,1",iOS,iOS 15.6.1,23E70A11-E173-4B39-8746-0C59BC996517,,en-au,Yes,36000,,,,Oceania,Australia,Queensland,Gold Coast,Australasia,(not set),com.gravty.everyday,1.3.2,,1:440587949883:ios:a725538014a60aa1e0c91e,iTunes,(direct),(none),(direct),,,,,,,,,,,,,,,,,,
1,20230101,1672571484021001,screen_view,1671791226349001,,10,346381,,7617C4B61F7E490BAE32F46345741A13,1669870350840000,,1653913388,IOS,,,3,1,app,1672571483,,,Yes,Yes,No,43139055,SILVER,1669870800000,On,tablet,Apple,iPad (9th gen),,"iPad12,1",iOS,iOS 15.6.1,23E70A11-E173-4B39-8746-0C59BC996517,,en-au,Yes,36000,,,,Oceania,Australia,Queensland,Gold Coast,Australasia,(not set),com.gravty.everyday,1.3.2,,1:440587949883:ios:a725538014a60aa1e0c91e,iTunes,(direct),(none),(direct),5098058354981550302,Splash screen,1,,,,,,,,,,,,,,,
2,20230101,1672571484337002,screen_view,1672571484021002,,10,346381,,7617C4B61F7E490BAE32F46345741A13,1669870350840000,,1653913388,IOS,,,3,1,app,1672571483,,,Yes,Yes,No,43139055,SILVER,1669870800000,On,tablet,Apple,iPad (9th gen),,"iPad12,1",iOS,iOS 15.6.1,23E70A11-E173-4B39-8746-0C59BC996517,,en-au,Yes,36000,,,,Oceania,Australia,Queensland,Gold Coast,Australasia,(not set),com.gravty.everyday,1.3.2,,1:440587949883:ios:a725538014a60aa1e0c91e,iTunes,(direct),(none),(direct),5098058354981550303,Home,,5098058354981550302,Splash screen,BaseTabBarViewController,,,,,,,,,,,,
3,20230101,1672571484560000,screen_view,1672571484337000,,11,346382,,7617C4B61F7E490BAE32F46345741A13,1669870350840000,,1653913388,IOS,,,3,1,auto,1672571483,,,Yes,Yes,No,43139055,SILVER,1669870800000,On,tablet,Apple,iPad (9th gen),,"iPad12,1",iOS,iOS 15.6.1,23E70A11-E173-4B39-8746-0C59BC996517,,en-au,Yes,36000,,,,Oceania,Australia,Queensland,Gold Coast,Australasia,(not set),com.gravty.everyday,1.3.2,,1:440587949883:ios:a725538014a60aa1e0c91e,iTunes,(direct),(none),(direct),5098058354981550304,,,5098058354981550303,Home,HomeViewController,BaseTabBarViewController,,,,,,,,,,,
4,20230101,1672571494309001,user_engagement,1671791244445001,,11,346382,,7617C4B61F7E490BAE32F46345741A13,1669870350840000,,1653913388,IOS,,,3,1,auto,1672571483,,,Yes,Yes,No,43139055,SILVER,1669870800000,On,tablet,Apple,iPad (9th gen),,"iPad12,1",iOS,iOS 15.6.1,23E70A11-E173-4B39-8746-0C59BC996517,,en-au,Yes,36000,,,,Oceania,Australia,Queensland,Gold Coast,Australasia,(not set),com.gravty.everyday,1.3.2,,1:440587949883:ios:a725538014a60aa1e0c91e,iTunes,(direct),(none),(direct),5098058354981550304,,,,,HomeViewController,,9790,,,,,,,,,,
5,20230101,1672571494309002,screen_view,1672571484560002,,11,346382,,7617C4B61F7E490BAE32F46345741A13,1669870350840000,,1653913388,IOS,,,3,1,app,1672571483,,,Yes,Yes,No,43139055,SILVER,1669870800000,On,tablet,Apple,iPad (9th gen),,"iPad12,1",iOS,iOS 15.6.1,23E70A11-E173-4B39-8746-0C59BC996517,,en-au,Yes,36000,,,,Oceania,Australia,Queensland,Gold Coast,Australasia,(not set),com.gravty.everyday,1.3.2,,1:440587949883:ios:a725538014a60aa1e0c91e,iTunes,(direct),(none),(direct),5098058354981550305,Categories,,5098058354981550304,,BaseTabBarViewController,HomeViewController,,,,,,,,,,,
6,20230101,1672571494326003,screen_view,1672571494309003,,11,346382,,7617C4B61F7E490BAE32F46345741A13,1669870350840000,,1653913388,IOS,,,3,1,auto,1672571483,,,Yes,Yes,No,43139055,SILVER,1669870800000,On,tablet,Apple,iPad (9th gen),,"iPad12,1",iOS,iOS 15.6.1,23E70A11-E173-4B39-8746-0C59BC996517,,en-au,Yes,36000,,,,Oceania,Australia,Queensland,Gold Coast,Australasia,(not set),com.gravty.everyday,1.3.2,,1:440587949883:ios:a725538014a60aa1e0c91e,iTunes,(direct),(none),(direct),5098058354981550306,,,5098058354981550305,Categories,CategoriesViewController,BaseTabBarViewController,,,,,,,,,,,
7,20230101,1672571499866000,select_content,1669870406480000,,12,360313,,7617C4B61F7E490BAE32F46345741A13,1669870350840000,,1653913388,IOS,,,3,1,app,1672571483,,,Yes,Yes,No,43139055,SILVER,1669870800000,On,tablet,Apple,iPad (9th gen),,"iPad12,1",iOS,iOS 15.6.1,23E70A11-E173-4B39-8746-0C59BC996517,,en-au,Yes,36000,,,,Oceania,Australia,Queensland,Gold Coast,Australasia,(not set),com.gravty.everyday,1.3.2,,1:440587949883:ios:a725538014a60aa1e0c91e,iTunes,(direct),(none),(direct),5098058354981550306,,,,,CategoriesViewController,,,Categories:Services,Categories:Services,card,Categories,,,,,,
8,20230101,1672571499879001,user_engagement,1672571494309001,,12,360313,,7617C4B61F7E490BAE32F46345741A13,1669870350840000,,1653913388,IOS,,,3,1,auto,1672571483,,,Yes,Yes,No,43139055,SILVER,1669870800000,On,tablet,Apple,iPad (9th gen),,"iPad12,1",iOS,iOS 15.6.1,23E70A11-E173-4B39-8746-0C59BC996517,,en-au,Yes,36000,,,,Oceania,Australia,Queensland,Gold Coast,Australasia,(not set),com.gravty.everyday,1.3.2,,1:440587949883:ios:a725538014a60aa1e0c91e,iTunes,(direct),(none),(direct),5098058354981550306,,,,,CategoriesViewController,,5570,,,,,,,,,,
9,20230101,1672571499879002,screen_view,1672571494326002,,12,360313,,7617C4B61F7E490BAE32F46345741A13,1669870350840000,,1653913388,IOS,,,3,1,app,1672571483,,,Yes,Yes,No,43139055,SILVER,1669870800000,On,tablet,Apple,iPad (9th gen),,"iPad12,1",iOS,iOS 15.6.1,23E70A11-E173-4B39-8746-0C59BC996517,,en-au,Yes,36000,,,,Oceania,Australia,Queensland,Gold Coast,Australasia,(not set),com.gravty.everyday,1.3.2,,1:440587949883:ios:a725538014a60aa1e0c91e,iTunes,(direct),(none),(direct),5098058354981550307,Category/Services,,5098058354981550306,,BaseTabBarViewController,CategoriesViewController,,,,,,,,,,,
